[0.581334,-0.640642,0.259539,-0.116998,-0.459558,0.335212,-0.293569,0.049583]
[0.190338,-0.700306,0.606466,-0.155989,-0.115658,-0.238427,-0.762938,0.940007]
[0.902411,0.399665,-0.082871,0.438205,-0.912355,0.652902,-0.615610,-0.444558]
[0.590522,0.882080,-0.301411,0.771318,0.604925,-0.490311,0.482058,-0.953597]
[-0.501151,-0.376589,-0.950894,0.722561,-0.995923,-0.027860,0.734488,-0.528590]
[-0.381130,-0.747216,-0.301825,-0.441054,0.042129,0.554959,0.626981,-0.030872]
[0.426354,-0.307327,-0.644475,0.080664,-0.711133,0.660122,0.560242,0.269886]
[-0.312356,0.882301,0.030611,0.130169,-0.189772,-0.756858,0.749139,0.602377]
[0.082993,0.388885,0.713947,0.935066,-0.869095,0.377780,-0.462434,-0.239611]
[0.937582,0.144501,-0.536223,-0.993987,0.368559,0.011083,-0.775689,0.794073]
[0.583793,-0.298396,-0.484580,0.889396,-0.117827,0.638965,-0.861920,0.026615]
[-0.936550,0.016169,0.758130,0.532317,0.845935,-0.671940,0.780116,-0.833343]
[0.732328,0.912452,0.584762,0.454676,-0.990526,0.383125,-0.664404,-0.850321]
[-0.575752,0.826438,0.513332,0.239315,-0.472781,-0.425536,-0.835995,0.119480]
[0.106588,-0.607790,0.057559,0.347690,0.092122,0.764456,-0.305974,-0.140505]
[-0.812656,-0.344548,0.243240,-0.929203,-0.514922,-0.623763,0.013623,0.545389]
[-0.687425,-0.140362,-0.994542,0.478639,-0.087841,0.311918,0.305218,-0.821421]
[-0.682365,0.304436,0.069687,-0.034631,-0.330630,-0.267231,0.534857,-0.130280]
[-0.081528,-0.396787,-0.430281,-0.340543,0.741590,-0.388693,-0.897546,0.263473]
[-0.965435,0.310869,0.698727,0.381920,-0.122057,-0.420460,0.451139,0.330567]
[0.760781,0.487148,0.672614,0.804463,0.641890,0.402117,0.863187,0.864604]
[-0.864850,-0.511940,0.614528,0.194160,0.118523,0.135148,-0.866793,0.133124]
[0.801096,0.562696,0.611444,0.323945,0.746490,0.137120,0.285133,-0.480933]
[-0.058636,0.190524,0.998478,-0.496533,-0.252121,-0.258701,0.099379,-0.668027]
[0.937658,-0.272620,0.102283,0.098527,0.268853,-0.696198,-0.584649,-0.478136]
[0.609067,-0.461786,0.636286,0.771922,0.489266,0.586328,0.343572,0.134438]
[0.120858,-0.052230,-0.584155,0.104034,-0.140490,-0.303440,0.919204,-0.549419]
[-0.669196,0.608272,0.211842,-0.297266,-0.225123,0.744651,0.131553,0.382883]
[-0.445389,0.380043,-0.043293,0.311783,-0.396194,-0.167264,-0.883196,-0.858988]
[0.675523,-0.282871,-0.030765,-0.746966,0.770761,-0.384658,-0.019660,-0.631637]
